latitude,longitude,SPI
5.375,86.625,NaN
5.375,86.875,NaN
5.375,87.125,NaN
5.375,87.375,NaN
5.375,87.625,NaN
5.375,87.875,NaN
5.375,88.125,NaN
5.375,88.375,NaN
5.375,88.625,NaN
5.375,88.875,NaN
5.375,89.125,NaN
5.375,89.375,NaN
5.375,89.625,NaN
5.375,89.875,NaN
5.375,90.125,NaN
5.375,90.375,NaN
5.375,90.625,NaN
5.375,90.875,NaN
5.375,91.125,NaN
5.375,91.375,NaN
5.375,91.625,NaN
5.375,91.875,NaN
5.375,92.125,NaN
5.375,92.375,NaN
5.375,92.625,NaN
5.375,92.875,NaN
5.375,93.125,NaN
5.375,93.375,NaN
5.375,93.625,NaN
5.375,93.875,NaN
5.375,94.125,NaN
5.375,94.375,NaN
5.375,94.625,NaN
5.375,94.875,NaN
5.375,95.125,NaN
5.375,95.375,3.152602196
5.375,95.625,4.08382988
5.375,95.875,3.38384819
5.375,96.125,5.802235126
5.375,96.375,NaN
5.375,96.625,NaN
5.375,96.875,NaN
5.375,97.125,NaN
5.375,97.375,NaN
5.375,97.625,NaN
5.375,97.875,NaN
5.375,98.125,NaN
5.375,98.375,NaN
5.375,98.625,NaN
5.375,98.875,NaN
5.375,99.125,NaN
5.375,99.375,NaN
5.375,99.625,NaN
5.375,99.875,NaN
5.375,100.125,NaN
5.375,100.375,4.717941284
5.375,100.625,3.512505531
5.375,100.875,3.697048664
5.625,65.125,NaN
5.625,65.375,NaN
5.625,65.625,NaN
5.625,65.875,NaN
5.625,66.125,NaN
5.625,66.375,NaN
5.625,66.625,NaN
5.625,66.875,NaN
5.625,67.125,NaN
5.625,67.375,NaN
5.625,67.625,NaN
5.625,67.875,NaN
5.625,68.125,NaN
5.625,68.375,NaN
5.625,68.625,NaN
5.625,68.875,NaN
5.625,69.125,NaN
5.625,69.375,NaN
5.625,69.625,NaN
5.625,69.875,NaN
5.625,70.125,NaN
5.625,70.375,NaN
5.625,70.625,NaN
5.625,70.875,NaN
5.625,71.125,NaN
5.625,71.375,NaN
5.625,71.625,NaN
5.625,71.875,NaN
5.625,72.125,NaN
5.625,72.375,NaN
5.625,72.625,NaN
5.625,72.875,NaN
5.625,73.125,NaN
5.625,73.375,NaN
5.625,73.625,NaN
5.625,73.875,NaN
5.625,74.125,NaN
5.625,74.375,NaN
5.625,74.625,NaN
5.625,74.875,NaN
5.625,75.125,NaN
